Itemset,Length,Support
"AgeGroup=<=16, Result=Pass, School=GP",3,0.3494
"G1Level=Medium, G2Level=Medium, HigherEducation=yes",3,0.3494
"Activities=no, Internet=yes, School=GP",3,0.3494
"Address=U, Internet=yes, Sex=F",3,0.3494
"Failures=0, Internet=yes, Sex=F",3,0.3468
"Absences=Low, Address=U, HigherEducation=yes",3,0.3468
"AgeGroup=<=16, HigherEducation=yes, Romantic=no",3,0.3468
"G2Level=Medium, School=GP, SchoolSupport=no",3,0.3468
"Internet=yes, SchoolSupport=no, StudyTime=2-5 hrs",3,0.3468
"AgeGroup=<=16, FamilySize=GT3, School=GP",3,0.3468
"Address=U, SchoolSupport=no, StudyTime=2-5 hrs",3,0.3468
"Failures=0, G2Level=Medium, School=GP",3,0.3468
"AgeGroup=17-18, HigherEducation=yes, Internet=yes",3,0.3468
"FamilySupport=yes, Internet=yes, Result=Pass",3,0.3443
"Failures=0, G2Level=Medium, SchoolSupport=no",3,0.3443
"Address=U, G2Level=Medium, Result=Pass",3,0.3443
"AgeGroup=<=16, HigherEducation=yes, Result=Pass",3,0.3443
"Failures=0, SchoolSupport=no, StudyTime=2-5 hrs",3,0.3443
"Activities=no, Address=U, SchoolSupport=no",3,0.3443
"Absences=Low, Internet=yes, School=GP",3,0.3418
"G2Level=Medium, Internet=yes, SchoolSupport=no",3,0.3418
"Activities=yes, Address=U, Internet=yes",3,0.3418
"Address=U, Failures=0, Sex=F",3,0.3418
"Address=U, SchoolSupport=no, Sex=F",3,0.3418
"AgeGroup=17-18, School=GP, SchoolSupport=no",3,0.3392
"Failures=0, G2Level=Medium, Internet=yes",3,0.3392
"AgeGroup=<=16, FamilySize=GT3, HigherEducation=yes",3,0.3392
"Address=U, School=GP, Sex=M",3,0.3392
"Activities=no, Address=U, Internet=yes",3,0.3392
"FamilySupport=yes, Internet=yes, Romantic=no",3,0.3392
"Address=U, G2Level=Medium, School=GP",3,0.3392
"Address=U, G1Level=Medium, Internet=yes",3,0.3367
"Absences=Low, Failures=0, School=GP",3,0.3367
"AgeGroup=17-18, HigherEducation=yes, School=GP",3,0.3367
"Absences=Low, Address=U, School=GP",3,0.3367
"Failures=0, FamilySupport=yes, Romantic=no",3,0.3367
"Address=U, Failures=0, StudyTime=2-5 hrs",3,0.3342
"Failures=0, School=GP, Sex=M",3,0.3342
"FamilySupport=yes, Romantic=no, SchoolSupport=no",3,0.3342
"HigherEducation=yes, Result=Pass, Sex=F",3,0.3342
"Absences=Low, Failures=0, SchoolSupport=no",3,0.3342
"Activities=yes, FamilySize=GT3, School=GP",3,0.3342
"FamilySize=GT3, Result=Pass, Romantic=no",3,0.3342
"Activities=yes, HigherEducation=yes, Result=Pass",3,0.3342
"Failures=0, SchoolSupport=no, Sex=M",3,0.3316
"Address=U, HigherEducation=yes, Sex=M",3,0.3316
"Address=U, SchoolSupport=no, Sex=M",3,0.3316
"FamilySupport=yes, School=GP, Sex=F",3,0.3316
"Address=U, G1Level=Medium, SchoolSupport=no",3,0.3316
"Address=U, Failures=0, G1Level=Medium",3,0.3316
"Address=U, Internet=yes, Sex=M",3,0.3316
"Activities=no, Failures=0, SchoolSupport=no",3,0.3316
"Address=U, G1Level=Medium, Result=Pass",3,0.3291
"Address=U, G2Level=Medium, Internet=yes",3,0.3291
"FamilySize=GT3, SchoolSupport=no, Sex=F",3,0.3291
"Activities=yes, Address=U, SchoolSupport=no",3,0.3291
"Failures=0, Internet=yes, StudyTime=2-5 hrs",3,0.3291
"Absences=Low, Address=U, SchoolSupport=no",3,0.3291
"Activities=no, Failures=0, School=GP",3,0.3291
"Address=U, AgeGroup=<=16, SchoolSupport=no",3,0.3266
"G1Level=Medium, G2Level=Medium, SchoolSupport=no",3,0.3266
"Activities=yes, HigherEducation=yes, Romantic=no",3,0.3266
"Absences=Low, Address=U, Internet=yes",3,0.3241
"FamilySize=GT3, Internet=yes, Sex=F",3,0.3241
"Failures=0, Internet=yes, Sex=M",3,0.3241
"FamilySize=GT3, G1Level=Medium, HigherEducation=yes",3,0.3241
"Absences=Low, Internet=yes, SchoolSupport=no",3,0.3241
"FamilySupport=no, HigherEducation=yes, SchoolSupport=no",3,0.3241
"HigherEducation=yes, Romantic=no, Sex=F",3,0.3241
"Address=U, FamilySupport=yes, Romantic=no",3,0.3215
"Absences=Low, FamilySize=GT3, HigherEducation=yes",3,0.3215
"Activities=no, HigherEducation=yes, Result=Pass",3,0.319
"HigherEducation=yes, Romantic=no, Sex=M",3,0.319
"AgeGroup=<=16, Internet=yes, SchoolSupport=no",3,0.319
"Absences=Low, Failures=0, Internet=yes",3,0.319
"AgeGroup=<=16, Failures=0, SchoolSupport=no",3,0.319
"Activities=yes, Result=Pass, School=GP",3,0.319
"HigherEducation=yes, Result=Pass, Sex=M",3,0.319
"Activities=no, FamilySize=GT3, HigherEducation=yes",3,0.319
"Activities=no, HigherEducation=yes, Romantic=no",3,0.3165
"Address=U, Failures=0, G2Level=Medium",3,0.3165
"Activities=yes, Address=U, Failures=0",3,0.3165
"G1Level=Medium, G2Level=Medium, School=GP",3,0.3165
"FamilySupport=yes, HigherEducation=yes, StudyTime=2-5 hrs",3,0.3165
"AgeGroup=<=16, Failures=0, Result=Pass",3,0.3165
"HigherEducation=yes, Result=Pass, StudyTime=2-5 hrs",3,0.3165
"FamilySize=GT3, HigherEducation=yes, StudyTime=2-5 hrs",3,0.3165
"Failures=0, G1Level=Medium, G2Level=Medium",3,0.3139
"Activities=no, Address=U, Failures=0",3,0.3139
"Result=Pass, SchoolSupport=no, Sex=M",3,0.3139
"Absences=Medium, HigherEducation=yes, School=GP",3,0.3139
"AgeGroup=<=16, FamilySupport=yes, School=GP",3,0.3139
"Failures=0, FamilySize=GT3, Sex=F",3,0.3139
"Address=U, G2Level=Medium, SchoolSupport=no",3,0.3139
"Absences=Low, Address=U, Failures=0",3,0.3139
"Romantic=no, SchoolSupport=no, Sex=M",3,0.3114
"AgeGroup=<=16, Failures=0, Romantic=no",3,0.3114
"Activities=yes, Romantic=no, School=GP",3,0.3114
"Address=U, AgeGroup=<=16, Romantic=no",3,0.3114
"Activities=yes, FamilySize=GT3, SchoolSupport=no",3,0.3114
"FamilySize=GT3, G2Level=Medium, HigherEducation=yes",3,0.3114
"FamilySize=GT3, G2Level=Medium, Result=Pass",3,0.3114
"G1Level=Medium, G2Level=Medium, Internet=yes",3,0.3114
"Absences=Low, FamilySize=GT3, School=GP",3,0.3089
"Activities=no, Failures=0, Internet=yes",3,0.3089
"Address=U, FamilySupport=yes, Result=Pass",3,0.3089
"HigherEducation=yes, Romantic=no, StudyTime=2-5 hrs",3,0.3089
"Absences=Medium, HigherEducation=yes, SchoolSupport=no",3,0.3089
"Address=U, AgeGroup=<=16, Result=Pass",3,0.3089
"AgeGroup=<=16, FamilySupport=yes, HigherEducation=yes",3,0.3089
"Address=U, FamilySize=GT3, Sex=F",3,0.3063
"AgeGroup=17-18, Failures=0, Internet=yes",3,0.3063
"Absences=Medium, Failures=0, HigherEducation=yes",3,0.3063
"AgeGroup=<=16, Internet=yes, Result=Pass",3,0.3063
"AgeGroup=17-18, Internet=yes, School=GP",3,0.3063
"Activities=no, FamilySize=GT3, SchoolSupport=no",3,0.3038
"Activities=yes, Failures=0, Result=Pass",3,0.3038
"Activities=yes, FamilySize=GT3, Internet=yes",3,0.3038
"Result=Pass, School=GP, Sex=M",3,0.3038
"Activities=yes, FamilySupport=yes, HigherEducation=yes",3,0.3038
"Absences=Low, HigherEducation=yes, Romantic=no",3,0.3038
"Activities=no, FamilySize=GT3, School=GP",3,0.3038
"Romantic=no, School=GP, Sex=M",3,0.3013
"Address=U, AgeGroup=17-18, HigherEducation=yes",3,0.3013
"AgeGroup=<=16, Failures=0, FamilySize=GT3",3,0.3013
"AgeGroup=<=16, FamilySize=GT3, Internet=yes",3,0.3013
"Activities=yes, Result=Pass, SchoolSupport=no",3,0.3013
"Activities=no, Result=Pass, SchoolSupport=no",3,0.2987
"AgeGroup=<=16, Internet=yes, Romantic=no",3,0.2987
"Absences=Low, HigherEducation=yes, Result=Pass",3,0.2987
"Failures=0, FamilySize=GT3, G1Level=Medium",3,0.2987
"FamilySupport=yes, Internet=yes, Sex=F",3,0.2987
"Failures=0, Result=Pass, Sex=M",3,0.2987
"FamilySize=GT3, G1Level=Medium, School=GP",3,0.2987
"Failures=0, FamilySupport=yes, Sex=F",3,0.2987
"FamilySupport=yes, School=GP, StudyTime=2-5 hrs",3,0.2962
"G2Level=Medium, HigherEducation=yes, Romantic=no",3,0.2962
"Address=U, AgeGroup=17-18, SchoolSupport=no",3,0.2962
"Activities=yes, Internet=yes, Result=Pass",3,0.2962
"FamilySize=GT3, FamilySupport=yes, Romantic=no",3,0.2962
"Absences=Medium, HigherEducation=yes, Internet=yes",3,0.2962
"Activities=yes, FamilySupport=yes, School=GP",3,0.2962
"FamilySize=GT3, G1Level=Medium, SchoolSupport=no",3,0.2962
"Romantic=no, School=GP, Sex=F",3,0.2962
"FamilySize=GT3, School=GP, StudyTime=2-5 hrs",3,0.2962
"Absences=Low, FamilySize=GT3, SchoolSupport=no",3,0.2937
"AgeGroup=17-18, Failures=0, School=GP",3,0.2937
"FamilySize=GT3, FamilySupport=yes, Result=Pass",3,0.2937
"FamilySupport=yes, SchoolSupport=no, Sex=F",3,0.2937
"Activities=yes, Failures=0, FamilySize=GT3",3,0.2937
"Failures=0, Result=Pass, Sex=F",3,0.2937
"Result=Pass, School=GP, Sex=F",3,0.2937
"G2Level=Medium, Result=Pass, Romantic=no",3,0.2937
"AgeGroup=<=16, Result=Pass, SchoolSupport=no",3,0.2911
"FamilySupport=no, HigherEducation=yes, School=GP",3,0.2911
"AgeGroup=17-18, FamilySize=GT3, SchoolSupport=no",3,0.2911
"AgeGroup=17-18, FamilySize=GT3, HigherEducation=yes",3,0.2911
"Internet=yes, Result=Pass, Sex=M",3,0.2911
"FamilySize=GT3, HigherEducation=yes, Sex=M",3,0.2911
"Failures=0, Result=Pass, StudyTime=2-5 hrs",3,0.2886
"Activities=no, Failures=0, Result=Pass",3,0.2886
"Absences=Low, Failures=0, Result=Pass",3,0.2886
"Address=U, Failures=0, Sex=M",3,0.2886
"G1Level=Medium, HigherEducation=yes, Romantic=no",3,0.2886
"FamilySize=GT3, SchoolSupport=no, StudyTime=2-5 hrs",3,0.2886
"Activities=no, FamilySize=GT3, Internet=yes",3,0.2886
"Result=Pass, SchoolSupport=no, StudyTime=2-5 hrs",3,0.2886
"Activities=no, FamilySupport=yes, HigherEducation=yes",3,0.2886
"Address=U, G1Level=Medium, G2Level=Medium",3,0.2886
"Address=U, AgeGroup=<=16, FamilySize=GT3",3,0.2886
"Address=U, FamilySupport=yes, Sex=F",3,0.2861
"FamilySize=GT3, G1Level=Medium, Result=Pass",3,0.2861
"G2Level=Low, HigherEducation=yes, School=GP",3,0.2861
"FamilySize=GT3, SchoolSupport=no, Sex=M",3,0.2861
"Activities=no, Romantic=no, School=GP",3,0.2861
"Result=Pass, SchoolSupport=no, Sex=F",3,0.2861
"FamilySize=GT3, School=GP, Sex=M",3,0.2861
"Activities=no, Romantic=no, SchoolSupport=no",3,0.2861
"G1Level=Low, HigherEducation=yes, School=GP",3,0.2861
"Absences=Low, Romantic=no, School=GP",3,0.2861
"Romantic=no, School=GP, StudyTime=2-5 hrs",3,0.2861
"FamilySize=GT3, G2Level=Medium, School=GP",3,0.2861
"FamilySupport=no, School=GP, SchoolSupport=no",3,0.2835
"Failures=0, FamilySupport=no, HigherEducation=yes",3,0.2835
"Address=U, AgeGroup=17-18, Internet=yes",3,0.2835
"Result=Pass, School=GP, StudyTime=2-5 hrs",3,0.2835
"Internet=yes, Romantic=no, Sex=M",3,0.2835
"G2Level=Medium, Romantic=no, School=GP",3,0.281
"FamilySize=GT3, G1Level=Medium, Internet=yes",3,0.281
"FamilySize=GT3, FamilySupport=yes, Sex=F",3,0.281
"FamilySize=GT3, G2Level=Medium, SchoolSupport=no",3,0.281
"Activities=yes, Romantic=no, SchoolSupport=no",3,0.281
"Absences=Low, Failures=0, FamilySize=GT3",3,0.281
"FamilySupport=yes, G1Level=Medium, HigherEducation=yes",3,0.281
"Failures=0, Romantic=no, Sex=F",3,0.281
"Internet=yes, Result=Pass, Sex=F",3,0.2785
"Absences=Low, FamilySize=GT3, Internet=yes",3,0.2785
"Absences=Medium, Failures=0, School=GP",3,0.2785
"AgeGroup=17-18, Result=Pass, SchoolSupport=no",3,0.2785
"FamilySupport=no, Internet=yes, SchoolSupport=no",3,0.2785
"Activities=yes, FamilySupport=yes, Internet=yes",3,0.2785
"Activities=yes, Internet=yes, Romantic=no",3,0.2785
"FamilySupport=no, HigherEducation=yes, Internet=yes",3,0.2785
"AgeGroup=17-18, HigherEducation=yes, Result=Pass",3,0.2785
"FamilySupport=yes, G2Level=Medium, HigherEducation=yes",3,0.2785
"Activities=no, Result=Pass, School=GP",3,0.2785
"Address=U, AgeGroup=17-18, School=GP",3,0.2759
"G2Level=Low, HigherEducation=yes, Result=Fail",3,0.2759
"Address=U, FamilySupport=no, HigherEducation=yes",3,0.2759
"FamilySize=GT3, G2Level=Medium, Internet=yes",3,0.2759
"FamilySupport=yes, Result=Pass, Romantic=no",3,0.2759
"Activities=no, Address=U, FamilySize=GT3",3,0.2759
"HigherEducation=yes, Sex=F, StudyTime=2-5 hrs",3,0.2759
"Failures=0, FamilySize=GT3, G2Level=Medium",3,0.2759
"HigherEducation=yes, Romantic=yes, SchoolSupport=no",3,0.2759
"Address=U, Result=Pass, StudyTime=2-5 hrs",3,0.2734
"AgeGroup=<=16, FamilySupport=yes, Internet=yes",3,0.2734
"Absences=Low, Romantic=no, SchoolSupport=no",3,0.2734
"Activities=no, Internet=yes, Result=Pass",3,0.2734
"Activities=no, HigherEducation=yes, Sex=F",3,0.2734
"FamilySupport=yes, SchoolSupport=no, StudyTime=2-5 hrs",3,0.2734
"AgeGroup=<=16, Failures=0, FamilySupport=yes",3,0.2734
"Activities=yes, Failures=0, Romantic=no",3,0.2734
"Address=U, FamilySupport=yes, StudyTime=2-5 hrs",3,0.2734
"Absences=Low, FamilySupport=yes, HigherEducation=yes",3,0.2734
"Absences=Medium, Internet=yes, SchoolSupport=no",3,0.2734
"G2Level=Low, HigherEducation=yes, SchoolSupport=no",3,0.2734
"Activities=no, Failures=0, Romantic=no",3,0.2734
"Failures=0, FamilySupport=yes, StudyTime=2-5 hrs",3,0.2709
"Activities=no, FamilySupport=yes, School=GP",3,0.2709
"Absences=Low, Result=Pass, SchoolSupport=no",3,0.2709
"Absences=Low, Failures=0, Romantic=no",3,0.2709
"Internet=yes, Result=Pass, StudyTime=2-5 hrs",3,0.2709
"FamilySupport=yes, G2Level=Medium, Result=Pass",3,0.2709
"Failures=0, G2Level=Medium, Romantic=no",3,0.2709
"Absences=Medium, School=GP, SchoolSupport=no",3,0.2684
"HigherEducation=yes, Internet=yes, Romantic=yes",3,0.2684
"Activities=no, Failures=0, FamilySize=GT3",3,0.2684
"AgeGroup=17-18, Failures=0, Result=Pass",3,0.2684
"AgeGroup=<=16, FamilySize=GT3, SchoolSupport=no",3,0.2684
"AgeGroup=<=16, Result=Pass, Romantic=no",3,0.2684
"Absences=Medium, HigherEducation=yes, Result=Pass",3,0.2684
"FamilySize=GT3, Internet=yes, StudyTime=2-5 hrs",3,0.2684
"Address=U, Romantic=no, Sex=M",3,0.2684
"Address=U, Romantic=no, StudyTime=2-5 hrs",3,0.2684
"FamilySize=GT3, Internet=yes, Sex=M",3,0.2684
"FamilySupport=yes, Internet=yes, StudyTime=2-5 hrs",3,0.2684
"Absences=Medium, Failures=0, SchoolSupport=no",3,0.2684
"Activities=no, Address=U, Result=Pass",3,0.2684
"Absences=Low, Address=U, FamilySize=GT3",3,0.2684
"G1Level=Medium, Romantic=no, School=GP",3,0.2684
"Address=U, Result=Pass, Sex=M",3,0.2684
"Absences=Low, FamilySupport=yes, School=GP",3,0.2684
"Failures=0, FamilySupport=no, SchoolSupport=no",3,0.2658
"Failures=0, FamilySize=GT3, StudyTime=2-5 hrs",3,0.2658
"Failures=0, Romantic=no, StudyTime=2-5 hrs",3,0.2658
"G2Level=Low, Result=Fail, School=GP",3,0.2658
"Internet=yes, Romantic=yes, SchoolSupport=no",3,0.2658
"Activities=yes, AgeGroup=<=16, School=GP",3,0.2658
"Failures=0, Romantic=no, Sex=M",3,0.2658
"AgeGroup=<=16, Romantic=no, SchoolSupport=no",3,0.2658
"Address=U, FamilySupport=no, SchoolSupport=no",3,0.2658
"G1Level=Low, G2Level=Low, HigherEducation=yes",3,0.2658
"Absences=Medium, Internet=yes, School=GP",3,0.2658
"FamilySupport=no, HigherEducation=yes, Result=Pass",3,0.2658
"Absences=Low, Result=Pass, School=GP",3,0.2658
"Absences=Medium, Address=U, HigherEducation=yes",3,0.2658
"Romantic=no, SchoolSupport=no, StudyTime=2-5 hrs",3,0.2658
"Activities=no, Address=U, Romantic=no",3,0.2658
"Address=U, AgeGroup=17-18, Failures=0",3,0.2633
"Absences=Low, Internet=yes, Romantic=no",3,0.2633
"Activities=yes, AgeGroup=<=16, HigherEducation=yes",3,0.2633
"AgeGroup=17-18, Romantic=no, SchoolSupport=no",3,0.2633
"Failures=0, G1Level=Medium, Romantic=no",3,0.2633
"Failures=0, FamilySupport=yes, G1Level=Medium",3,0.2633
"Activities=yes, Address=U, Result=Pass",3,0.2633
"Activities=yes, Address=U, FamilySize=GT3",3,0.2633
"Address=U, FamilySupport=no, School=GP",3,0.2633
"HigherEducation=yes, Romantic=yes, School=GP",3,0.2633
"G1Level=Medium, Result=Pass, Romantic=no",3,0.2633
"Address=U, Result=Pass, Sex=F",3,0.2633
"Address=U, FamilySize=GT3, StudyTime=2-5 hrs",3,0.2633
"Address=U, AgeGroup=<=16, FamilySupport=yes",3,0.2608
"Activities=no, Internet=yes, Romantic=no",3,0.2608
"FamilySupport=no, Internet=yes, School=GP",3,0.2608
"G1Level=Low, HigherEducation=yes, Internet=yes",3,0.2608
"Absences=Medium, Failures=0, Internet=yes",3,0.2608
"FamilySupport=yes, G1Level=Medium, School=GP",3,0.2608
"G1Level=Medium, Romantic=no, SchoolSupport=no",3,0.2608
"Activities=no, FamilySupport=yes, SchoolSupport=no",3,0.2608
"AgeGroup=<=16, FamilySize=GT3, Result=Pass",3,0.2608
"Address=U, FamilySupport=no, Internet=yes",3,0.2608
"FamilySupport=yes, G1Level=Medium, Internet=yes",3,0.2608
"G1Level=Low, HigherEducation=yes, SchoolSupport=no",3,0.2582
"Absences=Medium, FamilySize=GT3, HigherEducation=yes",3,0.2582
"AgeGroup=17-18, HigherEducation=yes, Romantic=no",3,0.2582
"G2Level=Low, Internet=yes, School=GP",3,0.2582
"Internet=yes, Romantic=yes, School=GP",3,0.2582
"FamilySupport=yes, G2Level=Medium, School=GP",3,0.2582
"G2Level=Low, HigherEducation=yes, Internet=yes",3,0.2582
"G1Level=Low, Internet=yes, School=GP",3,0.2582
"G2Level=Medium, Romantic=no, SchoolSupport=no",3,0.2582
"G2Level=Low, Result=Fail, SchoolSupport=no",3,0.2582
"Romantic=no, SchoolSupport=no, Sex=F",3,0.2557
"Activities=yes, HigherEducation=yes, StudyTime=2-5 hrs",3,0.2557
"AgeGroup=17-18, FamilySupport=yes, HigherEducation=yes",3,0.2557
"Absences=Low, Internet=yes, Result=Pass",3,0.2557
"Romantic=yes, School=GP, SchoolSupport=no",3,0.2557
"Internet=yes, Romantic=no, StudyTime=2-5 hrs",3,0.2557
"Internet=yes, Romantic=no, Sex=F",3,0.2557
"G2Level=Medium, Internet=yes, Romantic=no",3,0.2557
"G2Level=Low, School=GP, SchoolSupport=no",3,0.2557
"G1Level=Low, G2Level=Low, School=GP",3,0.2557
"HigherEducation=yes, Result=Fail, School=GP",3,0.2557
"Activities=yes, FamilySupport=yes, SchoolSupport=no",3,0.2557
"Address=U, FamilySize=GT3, G1Level=Medium",3,0.2557
"Absences=Low, AgeGroup=<=16, School=GP",3,0.2532
"AgeGroup=<=16, FamilySize=GT3, Romantic=no",3,0.2532
"G1Level=Low, G2Level=Low, Result=Fail",3,0.2532
"FamilySize=GT3, G2Level=Low, HigherEducation=yes",3,0.2532
"Activities=yes, Failures=0, FamilySupport=yes",3,0.2532
"Absences=Medium, HigherEducation=yes, Romantic=no",3,0.2532
"FamilySupport=yes, G2Level=Medium, Internet=yes",3,0.2532
"Absences=Medium, Address=U, School=GP",3,0.2532
"Failures=0, FamilySupport=yes, G2Level=Medium",3,0.2532
"Address=U, G1Level=Low, School=GP",3,0.2532
"Absences=Low, FamilySupport=yes, Internet=yes",3,0.2532
"Absences=Low, Address=U, Result=Pass",3,0.2532
"School=GP, Sex=F, StudyTime=2-5 hrs",3,0.2506
"Activities=yes, HigherEducation=yes, Sex=M",3,0.2506
"AgeGroup=17-18, Failures=0, FamilySize=GT3",3,0.2506
"FamilySupport=no, Result=Pass, SchoolSupport=no",3,0.2506
"Activities=yes, Address=U, Romantic=no",3,0.2506
"Address=U, FamilySize=GT3, G2Level=Medium",3,0.2506
"FamilySize=GT3, Romantic=no, Sex=F",3,0.2506
"AgeGroup=17-18, HigherEducation=yes, Sex=F",3,0.2506
"Absences=Low, AgeGroup=<=16, HigherEducation=yes",3,0.2506
"Activities=no, Address=U, FamilySupport=yes",3,0.2506
"Activities=yes, School=GP, Sex=M",3,0.2506
"Absences=Low, Address=U, Romantic=no",3,0.2506
"Address=U, G2Level=Low, School=GP",3,0.2506
"AgeGroup=17-18, FamilySize=GT3, Internet=yes",3,0.2506
"Activities=no, FamilySupport=yes, Internet=yes",3,0.2506
"G1Level=Low, G2Level=Low, SchoolSupport=no",3,0.2506
"AgeGroup=17-18, FamilySize=GT3, School=GP",3,0.2506
"FamilySupport=yes, G1Level=Medium, SchoolSupport=no",3,0.2506
"FamilySize=GT3, G1Level=Medium, G2Level=Medium",3,0.2481
"Activities=yes, FamilySize=GT3, Result=Pass",3,0.2481
"Address=U, Romantic=no, Sex=F",3,0.2481
"Failures=0, FamilySize=GT3, Sex=M",3,0.2481
"Activities=yes, FamilySize=GT3, Romantic=no",3,0.2481
"Result=Pass, Romantic=no, Sex=M",3,0.2456
"Activities=no, School=GP, Sex=F",3,0.2456
"Address=U, HigherEducation=yes, Romantic=yes",3,0.2456
"G1Level=Low, School=GP, SchoolSupport=no",3,0.2456
"FamilySupport=no, HigherEducation=yes, Romantic=no",3,0.2456
"FamilySupport=yes, G2Level=Medium, SchoolSupport=no",3,0.2456
"Activities=no, Failures=0, FamilySupport=yes",3,0.2456
"FamilySupport=yes, G1Level=Medium, Result=Pass",3,0.2456
"Address=U, Sex=F, StudyTime=2-5 hrs",3,0.2456
"AgeGroup=17-18, FamilySupport=yes, SchoolSupport=no",3,0.2456
"FamilySize=GT3, G2Level=Low, School=GP",3,0.243
"AgeGroup=<=16, FamilySize=GT3, FamilySupport=yes",3,0.243
"Address=U, G2Level=Low, HigherEducation=yes",3,0.243
"Activities=no, SchoolSupport=no, Sex=F",3,0.243
"Activities=yes, HigherEducation=yes, Sex=F",3,0.243
"G1Level=Medium, Internet=yes, Romantic=no",3,0.243
"Address=U, G1Level=Low, HigherEducation=yes",3,0.243
"Failures=0, FamilySupport=no, School=GP",3,0.243
"Absences=Medium, Result=Pass, School=GP",3,0.243
"G2Level=Low, Internet=yes, Result=Fail",3,0.243
"Absences=Medium, Failures=0, Result=Pass",3,0.243
"FamilySize=GT3, Result=Pass, Sex=F",3,0.243
"G1Level=Medium, HigherEducation=yes, Sex=F",3,0.243
"Failures=0, FamilySupport=no, Internet=yes",3,0.243
"Absences=Medium, Result=Pass, SchoolSupport=no",3,0.243
"Activities=yes, SchoolSupport=no, Sex=M",3,0.243
"FamilySize=GT3, G1Level=Low, HigherEducation=yes",3,0.2405
"FamilySupport=yes, HigherEducation=yes, Sex=M",3,0.2405
"Absences=Low, HigherEducation=yes, Sex=F",3,0.2405
"AgeGroup=17-18, SchoolSupport=no, Sex=F",3,0.2405
"Absences=Low, Address=U, FamilySupport=yes",3,0.2405
"Absences=Low, Failures=0, FamilySupport=yes",3,0.2405
"Absences=Low, FamilySupport=yes, SchoolSupport=no",3,0.2405
"FamilySize=LE3, HigherEducation=yes, SchoolSupport=no",3,0.2405
"G2Level=Medium, HigherEducation=yes, Sex=F",3,0.2405
"HigherEducation=yes, Result=Fail, SchoolSupport=no",3,0.238
"AgeGroup=<=16, FamilySupport=yes, SchoolSupport=no",3,0.238
"G1Level=Low, G2Level=Low, Internet=yes",3,0.238
"G1Level=Medium, G2Level=Medium, Romantic=no",3,0.238
"Internet=yes, Result=Fail, School=GP",3,0.238
"Activities=yes, FamilySize=GT3, FamilySupport=yes",3,0.238
"FamilySize=LE3, HigherEducation=yes, School=GP",3,0.238
"AgeGroup=17-18, Internet=yes, Result=Pass",3,0.238
"Absences=Low, FamilySize=GT3, Romantic=no",3,0.238
"AgeGroup=<=16, School=GP, Sex=M",3,0.238
"Activities=no, Result=Pass, Romantic=no",3,0.2354
"Activities=yes, School=GP, StudyTime=2-5 hrs",3,0.2354
"HigherEducation=yes, Internet=yes, Result=Fail",3,0.2354
"FamilySize=GT3, G1Level=Low, School=GP",3,0.2354
"FamilySupport=yes, School=GP, Sex=M",3,0.2354
"G2Level=Low, Internet=yes, SchoolSupport=no",3,0.2354
"Activities=no, Failures=0, Sex=F",3,0.2354
"AgeGroup=<=16, FamilySupport=yes, Romantic=no",3,0.2354
"Address=U, G2Level=Medium, Romantic=no",3,0.2354
"Absences=Medium, Address=U, Failures=0",3,0.2354
"Address=U, Romantic=yes, SchoolSupport=no",3,0.2354
"Absences=Low, FamilySize=GT3, FamilySupport=yes",3,0.2354
"Activities=no, FamilySize=GT3, Romantic=no",3,0.2329
"AgeGroup=<=16, School=GP, Sex=F",3,0.2329
"FamilySupport=no, Romantic=no, SchoolSupport=no",3,0.2329
"FamilySize=GT3, G2Level=Low, Result=Fail",3,0.2329
"Activities=yes, G2Level=Medium, HigherEducation=yes",3,0.2329
"Absences=Medium, Romantic=no, School=GP",3,0.2329
"Address=U, FamilySize=LE3, HigherEducation=yes",3,0.2329
"Activities=no, Address=U, Sex=F",3,0.2329
"AgeGroup=<=16, HigherEducation=yes, Sex=F",3,0.2329
"G1Level=Low, HigherEducation=yes, Romantic=no",3,0.2329
"Activities=yes, AgeGroup=<=16, Internet=yes",3,0.2329
"FamilySize=GT3, FamilySupport=no, HigherEducation=yes",3,0.2329
"Activities=yes, Result=Pass, Romantic=no",3,0.2329
"AgeGroup=<=16, School=GP, StudyTime=2-5 hrs",3,0.2329
"Address=U, Internet=yes, Romantic=yes",3,0.2329
"Address=U, FamilySize=GT3, Sex=M",3,0.2329
"G1Level=Low, HigherEducation=yes, Result=Fail",3,0.2329
"FamilySupport=yes, Romantic=no, Sex=F",3,0.2329
"Failures=0, FamilySupport=no, Result=Pass",3,0.2329
"Absences=Medium, Address=U, Internet=yes",3,0.2304
"Failures=0, HigherEducation=yes, Romantic=yes",3,0.2304
"Address=U, Failures=0, FamilySupport=no",3,0.2304
"FamilySize=GT3, Romantic=no, Sex=M",3,0.2304
"Activities=yes, Internet=yes, Sex=M",3,0.2304
"FamilySupport=no, Result=Pass, School=GP",3,0.2304
"Absences=Medium, Internet=yes, Result=Pass",3,0.2304
"FamilySize=GT3, FamilySupport=no, SchoolSupport=no",3,0.2304
"FamilySize=LE3, HigherEducation=yes, Internet=yes",3,0.2304
"Activities=yes, Address=U, FamilySupport=yes",3,0.2304
"Address=U, Romantic=yes, School=GP",3,0.2304
"Absences=Medium, FamilySize=GT3, School=GP",3,0.2304
"Activities=no, AgeGroup=17-18, SchoolSupport=no",3,0.2304
